id,word,html,description,pronounce
6961,đếm,<h1>đếm</h1><h2>verb</h2><ul><li>to count; to number ; to enumerate</li></ul>,verb: to count; to number ; to enumerate,
6962,đếm chác,"<h1>đếm chác</h1><ul><li>(mỉa) Count and recount<ul style=""list-style-type:circle""><li>Có mấy đồng bạc mà đếm chác mãi:<i>To count and recount a few dong in one's possession</i></li></ul></li></ul>",(mỉa) Count and recount,
6963,đếm xỉa,"<h1>đếm xỉa</h1><ul><li>Take notice of, take into account, take account of<ul style=""list-style-type:circle""><li>Không ai đếm xỉa đến dư luận:<i>No one can take no account (notice) of public opinion, no one can ignore public opinion</i></li></ul></li></ul>","Take notice of, take into account, take account of",
6964,đệm,<h1>đệm</h1><h2>verb</h2><ul><li>(âm nhạc) to accompany</li></ul>,verb: (âm nhạc) to accompany,
6965,đệm đàn,"<h1>đệm đàn</h1><ul><li>như đệm nghĩa 3<ul style=""list-style-type:circle""><li>Một người hát một người đệm đàn:<i>One sang and the other played and accompaniment</i></li></ul></li></ul>",như đệm nghĩa 3,
6966,đền,"<h1>đền</h1><h2>noun</h2><ul><li>temple<ul style=""list-style-type:circle""><li>đền Hùng</li></ul></li></ul><h2>verb</h2><ul><li>to compensate for ; to make up for</li></ul>",noun: temple,
6967,đền bồi,"<h1>đền bồi</h1><ul><li>Repay someone for his favours<ul style=""list-style-type:circle""><li>Đền bồi công ơn cha mẹ:<i>To repay one's parents for what they have done for one (for having brought up one)</i></li></ul></li></ul>",Repay someone for his favours,
6968,đền bù,"<h1>đền bù</h1><ul><li>Compensate for (someone's troublẹ..)<ul style=""list-style-type:circle""><li>Đền bù công sức bỏ ra:<i>To compensate (somebody) for the energy he has spent</i></li></ul></li></ul>","Compensate for (someone's troublẹ..)",
6969,đền chùa,"<h1>đền chùa</h1><ul><li>Pagodas, Buddhist temples(nói khái quát)<ul style=""list-style-type:circle""><li>Đền chùa thường dựng ở nơi thanh vắng:<i>Pagodas are generally built in quiet spots</i></li></ul></li></ul>","Pagodas, Buddhist temples(nói khái quát)",
6970,đền đài,"<h1>đền đài</h1><ul><li>Temples, sanctuaries and shrines<ul style=""list-style-type:circle""><li>đền thờ Nguyễn Trãi</li></ul></li></ul>","Temples, sanctuaries and shrines",
6971,đền đáp,"<h1>đền đáp</h1><ul><li>Pay one's debt of gratitude</li></ul>","Pay one's debt of gratitude",
6972,đền mạng,<h1>đền mạng</h1><ul><li>Pay retributive compensation for a murder</li></ul>,Pay retributive compensation for a murder,
6973,đền ơn,<h1>đền ơn</h1><ul><li>Repay (someone)for his favour</li></ul>,Repay (someone)for his favour,
6974,đền rồng,<h1>đền rồng</h1><ul><li>Royal palace</li></ul>,Royal palace,
6975,đền tội,"<h1>đền tội</h1><h2>verb</h2><ul><li>to pay for one's sin</li></ul>","verb: to pay for one's sin",
6976,đến,"<h1>đến</h1><h2>verb</h2><ul><li>to arrive; to come; to get in<ul style=""list-style-type:circle""><li>thì giờ đã đến:<i>the time was arrived</i>-To reach; to attain<br/></li><li>đến chỗ hoàn thiện:<i>to reach perfection</i></li></ul></li></ul>",verb: to arrive; to come; to get in,
6977,đến cùng,"<h1>đến cùng</h1><ul><li>To a finish, to the bitter end<ul style=""list-style-type:circle""><li>Đấu tranh đến cùng:<i>To fight (struggle) to the bitter end</i></li></ul></li></ul>","To a finish, to the bitter end",
6978,đến điều,"<h1>đến điều</h1><ul><li>Not short of anything<ul style=""list-style-type:circle""><li>Căn dặn đến điều:<i>To make every recommendation</i></li><li>Khuyên nhủ đến điều mà vẫn không nghe:<i>To refuse to listen to all advice</i></li><li>đến đỗi như đến nỗi</li></ul></li></ul>",Not short of anything,
6979,đến giờ,"<h1>đến giờ</h1><ul><li>Up to now, hitherto<ul style=""list-style-type:circle""><li>Từ trước đến giờ:<i>From before up to now</i></li></ul></li><li>It's time<ul style=""list-style-type:circle""><li>Đã đến giờ lên đường:<i>It's time to set out</i></li><li>Đến giờ nghỉ rồi:<i>It's time to have a break</i></li></ul></li></ul>","Up to now, hitherto",
6980,đến hay,"<h1>đến hay</h1><ul><li>Quite interesting<ul style=""list-style-type:circle""><li>Câu chuyện đến hay:<i>A quite intersting story</i>-Funny, old<br/></li><li>Ăn nói ngớ ngẩn đến hay:<i>To talk in such a funnily foolish way</i></li><li>đến mùa quýt (thân):<i>When the moon is made of green cheese; never</i></li></ul></li></ul>",Quite interesting,
6981,đến ngày,"<h1>đến ngày</h1><ul><li>Due, mature<ul style=""list-style-type:circle""><li>Nợ đã đến ngày đâu mà đòi:<i>The debt is not yet due, so there is no reason for claiming its payment</i></li><li>Hóa đơn đã đến ngày phải thanh toán:<i>The bill is mature (due)</i>-Near her time<br/></li><li>Khâu xong tã lót thì đến ngày:<i>She will be near her time, affter finishing sewing the baby's napkins</i></li></ul></li></ul>","Due, mature",
6982,đến nỗi,"<h1>đến nỗi</h1><ul><li>cũng như đến đỗi-To such an axtent that, to such a degree that<br/><ul style=""list-style-type:circle""><li>Bận đến nỗi không còn thì giờ tập thể dục:<i>To be busy to such an extent that there is no time left for exercises</i>-Too, at all<br/></li><li>Cô ta không đến nỗi xấu:<i>She is not too bad-looking</i></li></ul></li></ul>",cũng như đến đỗi,
6983,đến nơi,"<h1>đến nơi</h1><ul><li>About, soon<ul style=""list-style-type:circle""><li>Mưa đến nơi:<i>It is about to rain</i></li></ul></li></ul>","About, soon",
6984,đến tháng,<h1>đến tháng</h1><ul><li>như đến ngày nghĩa 2</li></ul>,như đến ngày nghĩa 2,
6985,đến thế,"<h1>đến thế</h1><ul><li>So<ul style=""list-style-type:circle""><li>Sao anh đến chậm thế?:<i>Why are you so late?</i></li></ul></li></ul>",So,
6986,đến thì,"<h1>đến thì</h1><ul><li>Nubile<ul style=""list-style-type:circle""><li>Nhà có hai cô con gái đến thì:<i>They have got two nubile girls in that family</i></li></ul></li></ul>",Nubile,
6987,đến tuổi,<h1>đến tuổi</h1><h2>verb</h2><ul><li>to come of age</li></ul>,verb: to come of age,
6988,đềnh đoàng,<h1>đềnh đoàng</h1><ul><li>như ddue^`nh đoàng</li></ul>,như ddue^`nh đoàng,
6989,đểnh đoảng,"<h1>đểnh đoảng</h1><ul><li>Lukewarm, tepid<ul style=""list-style-type:circle""><li>Tình cảm đểnh đoảng:<i>Lukewarm feelings</i></li></ul></li></ul>","Lukewarm, tepid",
6990,đễnh đoãng,"<h1>đễnh đoãng</h1><ul><li>Be lost in<ul style=""list-style-type:circle""><li>Phòng thì to mà đồ đạc thì đễnh đoãng:<i>Such scanty furniture was lost in the immense romm</i>-Unsubstantial, empty<br/></li><li>Bài nói chuyện đễnh đoãng:<i>An unsubstantial talk</i></li></ul></li></ul>",Be lost in,
6991,đệp,<h1>đệp</h1><ul><li>(cũ) Basket-(địa phương) Quire (of paper)<br/></li></ul>,(cũ) Basket,
6992,đều,<h1>đều</h1><ul><li>even; regular; steady</li></ul>,even; regular; steady,
6993,đều đặn,"<h1>đều đặn</h1><ul><li>Regular, balanced<ul style=""list-style-type:circle""><li>Chữ viết đều đặn:<i>A regalar handwriting. well-proportioned</i></li><li>Thân thể đều đặn:<i>A well-proportioned body</i></li></ul></li></ul>","Regular, balanced",
6994,đều đều,"<h1>đều đều</h1><ul><li>Monotonous<ul style=""list-style-type:circle""><li>Giọng đều đều nghe rất buồn ngủ:<i>That monotonous voice sends you tom sleep</i></li></ul></li></ul>",Monotonous,
6995,đều nhau,<h1>đều nhau</h1><ul><li>equal</li></ul>,equal,
6996,đểu,<h1>đểu</h1><ul><li>ill-bred; vulgar</li></ul>,ill-bred; vulgar,
6997,đểu cáng,"<h1>đểu cáng</h1><ul><li>(thông tục) Very caddish, very blackguardly</li></ul>","(thông tục) Very caddish, very blackguardly",
6998,đểu giả,<h1>đểu giả</h1><ul><li>nh đểu</li></ul>,nh đểu,
6999,đi,"<h1>đi</h1><h2>verb</h2><ul><li>to go; to walk; to depart<ul style=""list-style-type:circle""><li>đi đến một nơi nào:<i>to go to a place</i>-To lead; to march; to play<br/></li><li>đường này đi đâu:<i>Where does this road lead?</i></li></ul></li></ul>",verb: to go; to walk; to depart,
7000,đi biệt,<h1>đi biệt</h1><ul><li>Leave forever</li></ul>,Leave forever,
7001,đi bộ,<h1>đi bộ</h1><h2>verb</h2><ul><li>to walk</li></ul>,verb: to walk,
7002,đi bộ đội,<h1>đi bộ đội</h1><ul><li>Join the (communist) army</li></ul>,Join the (communist) army,
7003,đi cầu,<h1>đi cầu</h1><ul><li>(địa phương) Go to stool</li></ul>,(địa phương) Go to stool,
7004,đi chân,<h1>đi chân</h1><ul><li>như đi bộ</li></ul>,như đi bộ,
7005,đi chân đất,<h1>đi chân đất</h1><ul><li>cũng nói đi chân không To go (walk) barefoot</li></ul>,cũng nói đi chân không To go (walk) barefoot,
7006,đi chơi,"<h1>đi chơi</h1><h2>verb</h2><ul><li>to go out, to be out</li></ul>","verb: to go out, to be out",
7007,đi củi,<h1>đi củi</h1><ul><li>Fetch wood (in the forest)</li></ul>,Fetch wood (in the forest),
7008,đi dạo,"<h1>đi dạo</h1><h2>verb</h2><ul><li>to sholl, to go for a walk</li></ul>","verb: to sholl, to go for a walk",
7009,đi đái,"<h1>đi đái</h1><ul><li>Make water, have a pee</li></ul>","Make water, have a pee",
7010,đi đày,"<h1>đi đày</h1><ul><li>Be deported, be banished</li></ul>","Be deported, be banished",
7011,đi đất,<h1>đi đất</h1><ul><li>Go (walk) barefoot</li></ul>,Go (walk) barefoot,
7012,đi đêm,"<h1>đi đêm</h1><ul><li>Go out of one's house at night<ul style=""list-style-type:circle""><li>Anh chàng ấy hay đi đêm:<i>That lad often goes out of his house at night</i></li></ul></li></ul>","Go out of one's house at night",
7013,đi đôi,"<h1>đi đôi</h1><ul><li>Go together, match<ul style=""list-style-type:circle""><li>Hai cái bình đi đôi với nhau:<i>The two vases match</i></li></ul></li></ul>","Go together, match",
7014,đi đời,"<h1>đi đời</h1><ul><li>Go to the dog; go bust<ul style=""list-style-type:circle""><li>Đi đời nhà ma (thông tục) như đi ddo:<i>`i</i></li><li>Thếla` vốn liếng đi đời nhà ma:<i>So the whole investment went bust</i></li></ul></li></ul>",Go to the dog; go bust,
7015,đi đứng,"<h1>đi đứng</h1><ul><li>Have a gait (in some way)<ul style=""list-style-type:circle""><li>Đi dứng bệ vệ:<i>To have a stately gait</i></li></ul></li></ul>",Have a gait (in some way),
7016,đi giải,"<h1>đi giải</h1><ul><li>make water, urinate</li></ul>","make water, urinate",
7017,đi khỏi,<h1>đi khỏi</h1><ul><li>(địa phương) như đi vắng</li></ul>,(địa phương) như đi vắng,
7018,đi kiết,<h1>đi kiết</h1><ul><li>Be affected by dysentery</li></ul>,Be affected by dysentery,
7019,đi lại,"<h1>đi lại</h1><ul><li>Be on intimate terms<ul style=""list-style-type:circle""><li>Hai nhà đi lại với nhau dda(lâu:<i>Both families have long been on intimate terms</i>-Have intimate relation with each other, entertain intimacy with<br/></li><li>Họ đi lại với nhau, bất chấp những lời dị nghị:<i>They had intimate relations with each other in defiance of criticismc</i></li></ul></li></ul>",Be on intimate terms,
7020,đi làm,<h1>đi làm</h1><h2>verb</h2><ul><li>to go to work ; to go to business</li></ul>,verb: to go to work ; to go to business,
7021,đi lính,<h1>đi lính</h1><ul><li>(cũ) Go soldiering</li></ul>,(cũ) Go soldiering,
7022,đi nằm,"<h1>đi nằm</h1><ul><li>Go to bed, go to rest</li></ul>","Go to bed, go to rest",
7023,đi nghỉ,"<h1>đi nghỉ</h1><ul><li>Take (have) a rest; go to rest-Spend one's holiday<br/><ul style=""list-style-type:circle""><li>Anh ấy thường đi nghỉ ở Đồ Sơn:<i>He usually spends his holiday at Doson</i></li></ul></li></ul>",Take (have) a rest; go to rest,
7024,đi ngoài,<h1>đi ngoài</h1><ul><li>như đi ỉa</li></ul>,như đi ỉa,
7025,đi ngủ,<h1>đi ngủ</h1><h2>verb</h2>-to go to bed<br/>,verb: ,
7026,đi qua,"<h1>đi qua</h1><ul><li>Pass, go past</li></ul>","Pass, go past",
7027,đi ra,"<h1>đi ra</h1><ul><li>Go out of one's house-Discharge (from one's bowels)<br/><ul style=""list-style-type:circle""><li>Đi ra máu To discharge blood (from one's bowels)</li></ul></li></ul>","Go out of one's house",
7028,đi rửa,<h1>đi rửa</h1><ul><li>Get diarrhoea</li></ul>,Get diarrhoea,
7029,đi sâu,"<h1>đi sâu</h1><ul><li>Delve, go deep<ul style=""list-style-type:circle""><li>Đi sâu vào một vấn đề:<i>To delve into a problem</i></li></ul></li></ul>","Delve, go deep",
7030,đi tả,<h1>đi tả</h1><ul><li>Suffer from cholera</li></ul>,Suffer from cholera,
7031,đi tắt,<h1>đi tắt</h1><ul><li>Take a short-cut</li></ul>,Take a short-cut,
7032,đi tây,"<h1>đi tây</h1><ul><li>Go west, kick the bucket<ul style=""list-style-type:circle""><li>Già nua bệnh tật thế mà đi tây cũng phải lúc rồi:<i>It was time he went west, so old and ailing.</i>-(mỉa) Be bust, go to pot<br/></li></ul></li></ul>","Go west, kick the bucket",
7033,đi tiêu,<h1>đi tiêu</h1><ul><li>như đi ỉa</li></ul>,như đi ỉa,
7034,đi tiểu,<h1>đi tiểu</h1><ul><li>như đi đái</li></ul>,như đi đái,
7035,đi tơ,"<h1>đi tơ</h1><ul><li>Mate (a sow)<ul style=""list-style-type:circle""><li>Cho con lợn cái đi tơ:<i>To mate a sow</i></li></ul></li></ul>",Mate (a sow),
7036,đi trốn,<h1>đi trốn</h1><h2>verb</h2>-to flee; to fly<br/>,verb: ,
7037,đi tu,"<h1>đi tu</h1><ul><li>Take the vow, go into a monastery, go into a nunnerỵ.</li></ul>","Take the vow, go into a monastery, go into a nunnerỵ.",
7038,đi tù,<h1>đi tù</h1><ul><li>Go to prison</li></ul>,Go to prison,
7039,đi tuần,"<h1>đi tuần</h1><ul><li>Go on a round, go on patrol</li></ul>","Go on a round, go on patrol",
7040,đi tướt,<h1>đi tướt</h1><ul><li>(nói về trẻ em)</li></ul>,(nói về trẻ em),
7041,đi văng,<h1>đi văng</h1><ul><li>Divan; couch</li></ul>,Divan; couch,
7042,đi vắng,"<h1>đi vắng</h1><ul><li>absent<ul style=""list-style-type:circle""><li>cô ta đi vắng:<i>She is absent from home</i></li></ul></li></ul>",absent,
7043,đi vòng,"<h1>đi vòng</h1><ul><li>Take a roundabout route.ddi`-(thông tục) Testicle, balls (xem sa đì).<br/>-(thông tục) Give a talking to, talk to, dress down<br/><ul style=""list-style-type:circle""><li>Học lười bị thầy giáo đì cho một trận:<i>To be talked to by the teacher for laziness</i></li></ul></li></ul>",Take a roundabout route.ddi`,
7044,đì,<h1>đì</h1><h2>noun</h2><ul><li>scrotum</li></ul>,noun: scrotum,
7045,đì đẹt,"<h1>đì đẹt</h1><ul><li>Pop sporadically and dully<ul style=""list-style-type:circle""><li>Pháo này nổ đì đẹt:<i>These bad fire-crackers pop sporadically and dully</i></li></ul></li></ul>",Pop sporadically and dully,
7046,đì đùng,"<h1>đì đùng</h1><ul><li>Boom in salvoes, bang in salvoes<ul style=""list-style-type:circle""><li>Tiếng súng đì đùng suốt đêm:<i>Guns boomed in salvoes the whole night</i></li></ul></li></ul>","Boom in salvoes, bang in salvoes",
7047,đĩ,"<h1>đĩ</h1><h2>noun</h2><ul><li>prostitude; courtesan<ul style=""list-style-type:circle""><li>đĩ thoã:<i>wanton</i></li></ul></li></ul>",noun: prostitude; courtesan,
7048,đĩ bợm,"<h1>đĩ bợm</h1><ul><li>Lustful, wanton</li></ul>","Lustful, wanton",
7049,đĩ điếm,"<h1>đĩ điếm</h1><ul><li>Prostiture, whore</li></ul>","Prostiture, whore",
7050,đĩ đực,"<h1>đĩ đực</h1><ul><li>Lecher, promiscuous man, gigolo</li></ul>","Lecher, promiscuous man, gigolo",
7051,đĩ miệng,<h1>đĩ miệng</h1><ul><li>Fond of telling broad stories</li></ul>,Fond of telling broad stories,
7052,đĩ rạc,"<h1>đĩ rạc</h1><ul><li>(cũ) Veteran harlot veteran whore<ul style=""list-style-type:circle""><li>Đĩ rải đĩ rạc (cũ):<i>To behave like a harridan of a tart</i></li></ul></li></ul>",(cũ) Veteran harlot veteran whore,
7053,đĩ thõa,"<h1>đĩ thõa</h1><ul><li>Of very easy virtue, very promiscuous, very wanton (nói về đàn bà)</li></ul>","Of very easy virtue, very promiscuous, very wanton (nói về đàn bà)",
7054,đĩ tính,"<h1>đĩ tính</h1><ul><li>Of easy virtue, light</li></ul>","Of easy virtue, light",
7055,đĩ trai,<h1>đĩ trai</h1><ul><li>(địa phương) Dandy</li></ul>,(địa phương) Dandy,
7056,đìa,<h1>đìa</h1><h2>noun</h2><ul><li>pond</li></ul>,noun: pond,
7057,đỉa,"<h1>đỉa</h1><ul><li>Leech<ul style=""list-style-type:circle""><li>Bám như đỉa:<i>To stick like a leech</i></li></ul></li></ul>",Leech,
7058,đĩa,"<h1>đĩa</h1><ul><li>Plate, dish<ul style=""list-style-type:circle""><li>Đĩa sứ:<i>A China plate</i>-Chainwheel (of a bycicle)<br/>-Discus<br/></li><li>Môn ném đĩa:<i>The discus throw</i></li></ul></li></ul>","Plate, dish",
7059,địa,<h1>địa</h1><h2>verb</h2><ul><li>(colloq) glance (:<i>at)</i></li></ul>,verb: (colloq) glance (:<i>at)</i>,
7060,địa bạ,"<h1>địa bạ</h1><ul><li>cũng nói địa bộ Land register, cadastre</li></ul>","cũng nói địa bộ Land register, cadastre",
